"6","12","18","24","106","112","118","124"
773,898,957,1091,4000,4000,4000,1073
NA,NA,NA,NA,NA,NA,NA,NA
541,546,538,585,4000,4000,4000,860
491,594,541,695,4000,4000,1810,3178
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
592,749,506,598,4000,676,4000,1541
563,604,652,1026,2123,4000,2386,3478
610,590,643,611,1238,4000,4000,4000
655,786,714,651,1563,4000,1392,1310
845,743,812,639,4000,4000,4000,2685
623,750,970,728,4000,3380,3061,1617
608,677,1228,1579,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
531,527,499,587,4000,1331,4000,4000
