"6","12","18","24","106","112","118","124"
4000,2605,2131,4000,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
635,1401,715,937,4000,4000,4000,4000
1044,1507,1831,1480,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1346,1644,1664,1126,4000,4000,4000,4000
1007,3806,2458,3794,4000,4000,4000,4000
1486,1791,2595,3961,4000,4000,4000,4000
2130,1351,2266,1402,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
816,1503,4000,3779,4000,4000,4000,4000
1077,1259,2222,2566,4000,4000,4000,4000
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1137,2181,1642,1317,4000,4000,4000,4000
